lastUpdated,code,level,created,name,id,offlineLevels,code,lastUpdated,id,level,created,name,shortName,description,contactPerson,path,openingDate,email,address,url,phoneNumber,closedDate,geometry,comment,code,created,lastUpdated,name,id,shortName,symbol,color,geometry
2023-12-29T13:36:10.973,,,,,,,,,,6,2023-12-29T13:36:10.944,Agakera,Agakera,,,"/NLsvt0iBEyq/d3sGVyQqwe5/CdGmPmTT2JI/ktcaaDa6DMb/Jxv68OC5kKv/sdneu0Ji5QW",2023-01-01T00:00:00.000,,,,,,,,,,,,sdneu0Ji5QW,,,,
2023-12-29T14:53:13.126,,,,,,,,,,6,2023-12-29T14:53:13.059,Agakindo,Agakindo,,,"/NLsvt0iBEyq/qtB5YKGpetQ/HZHCFHVBgWS/RNtvz3P1bSM/t5nv4UdZbZF/KVb0FIMcfWG",2023-01-01T00:00:00.000,,,,,,,,,,,,KVb0FIMcfWG,,,,
2023-12-29T14:43:32.410,,,,,,,,,,6,2023-12-29T14:43:32.344,Agakiri,Agakiri,,,"/NLsvt0iBEyq/qtB5YKGpetQ/FYWwHHg36JQ/GcvModJhJue/Tz7wPY0vFXo/Tbt36EMnFKi",2023-01-01T00:00:00.000,,,,,,,,,,,,Tbt36EMnFKi,,,,
2023-12-29T13:29:33.871,,,,,,,,,,6,2023-12-29T13:29:33.852,Agakomansyo,Agakomansyo,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/jbhYYVRUg9p/zquYt9zQhVQ/FnyuJg7LzcS",2023-01-01T00:00:00.000,,,,,,,,,,,,FnyuJg7LzcS,,,,
2023-12-29T13:34:21.187,,,,,,,,,,6,2023-12-29T13:34:21.164,Agakombe,Agakombe,,,"/NLsvt0iBEyq/d3sGVyQqwe5/CdGmPmTT2JI/gU8JLkOBQ3o/jEGY448KxcC/VygTPbMdpve",2023-01-01T00:00:00.000,,,,,,,,,,,,VygTPbMdpve,,,,
2023-12-29T13:12:54.567,,,,,,,,,,6,2023-12-29T13:12:54.544,Agakomeye,Agakomeye,,,"/NLsvt0iBEyq/I7LUEXlue90/S19LIxV9TlT/k03ln15PN0Q/e6AXgxJvdV7/nEtQHO5mkvZ",2023-01-01T00:00:00.000,,,,,,,,,,,,nEtQHO5mkvZ,,,,
2023-12-29T14:40:35.464,,,,,,,,,,5,2023-12-29T14:40:35.373,Agakomeye,Agakomeye,,,"/NLsvt0iBEyq/qtB5YKGpetQ/eyq3Niz72Ls/mxhqXgrLYBG/Xgr4KBq78ro",2023-01-01T00:00:00.000,,,,,,,,,,,,Xgr4KBq78ro,,,,
2023-12-29T13:29:05.189,,,,,,,,,,6,2023-12-29T13:29:05.171,Agakurwe,Agakurwe,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/qLqMdaBK6Zg/zSnQ8odbZ84/qT3LnBhNmRo",2023-01-01T00:00:00.000,,,,,,,,,,,,qT3LnBhNmRo,,,,
2023-12-29T13:33:12.514,,,,,,,,,,6,2023-12-29T13:33:12.495,Agasaka,Agasaka,,,"/NLsvt0iBEyq/d3sGVyQqwe5/xvgoC8i25AP/l3uSTmchAeh/GC3HnJVECp6/xOpV2hFwtha",2023-01-01T00:00:00.000,,,,,,,,,,,,xOpV2hFwtha,,,,
2023-12-29T13:18:29.015,,,,,,,,,,6,2023-12-29T13:18:28.990,Agasaro,Agasaro,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/nqhoWuNj7DS/i9UAw1FundZ/WghpP373AOE",2023-01-01T00:00:00.000,,,,,,,,,,,,WghpP373AOE,,,,
2023-12-29T14:35:28.582,,,,,,,,,,6,2023-12-29T14:35:28.509,Agasasa,Agasasa,,,"/NLsvt0iBEyq/qtB5YKGpetQ/UN7SFbqzMwN/lUu9dsXgVrW/XJ440O3iOeF/FtKSH4FmUum",2023-01-01T00:00:00.000,,,,,,,,,,,,FtKSH4FmUum,,,,
